model,model_short,mode,accuracy,macro_f1,n,tn,fp,fn,tp,mean_confidence,mean_conf_correct,mean_conf_wrong,mean_steps_used
google/gemma-7b-it,gemma-7b-it,no_subjects,0.5643251775848461,0.364062238581228,1267,2,551,1,713,2.8508614628166314e-07,2.7284755573406086e-07,3.009386684583581e-07,3.0
google/gemma-7b-it,gemma-7b-it,with_subjects,0.5627466456195738,0.3601010101010101,1267,0,553,1,713,8.354999930630919e-08,7.99187102458253e-08,8.822348143649876e-08,3.0
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,with_subjects,0.5193370165745856,0.4992104612425062,1267,456,97,512,202,0.000536551979835709,0.0005281352888124692,0.0005456458758838071,3.0
meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,no_subjects,0.5035516969218626,0.47150393416205494,1267,475,78,551,163,0.0005368355135326792,0.0005406602796716002,0.0005329560210102124,3.0
